,track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language
185,05mAIVLkIWc2d1UBYZBCp8,1999,Charli XCX,"I just wanna go back, back to 1999 Take a ride to my old neighborhood I just wanna go back, sing ""Hit me, baby, one more time"" Wanna go back, wanna go Yeah, I just wanna go back Nike Airs, All That CD, old Mercedes Drive 'round listening to Shady like, oh Never under pressure, oh Those days, it was so much better, oh Feelin' cool in my youth, relaxin'No money, no problem It was easy back then Ooh, wish that we could go back in time, uh Got memories Ooh, maybe we could do it tonight Tonight's the night I just wanna go back, back to 1999 Take a ride to my old neighborhood I just wanna go back Sing ""Hit me, baby, one more time"" Wanna go back, wanna go Yeah, I remember back home Best friends, all night, no phone No cares, I was dumb and so young My room singing Michael Jackson (Hee, hee) Never under pressure, oh Those days it was so much better, oh Feelin' cool in my youth, I'm askin'""Does anyone remember how we did it back then?"" Ooh, wish that we could go back in time, uh Got memories Ooh, maybe we could do it tonight Tonight's the night Ah, yeah I just wanna go back, back to 1999 Take a ride to my old neighborhood I just wanna go back Sing ""Hit me, baby, one more time"" Wanna go back, wanna go Back to where we came from Playin' air guitar on the roof In the kitchen, up on the table Like we had a beautiful view I wanna go I just wanna go back, back to 1999 Ah, yeah Back to 1999 I know those days are over, but a boy can fantasize 'Bout JTT on MTV and when I close my e-e-eyes And I'm right there, right there And he's right there, right there And we're right there, right there Ah, ah, ah, I wanna go back I just wanna go back (Yeah), back to 1999 Take a ride to my old neighborhood I just wanna go back Sing ""Hit me, baby, one more time"" Wanna go back, wanna go Back to where we came from (Came from) Playin' air guitar on the roof (Ah) In the kitchen, up on the table Like we had a beautiful view I wanna go I just wanna go back, back to 1999 (Go back) Go back, yeah, yeah I just wanna go back, yeah, back to 1999 Take me back to '99 (Yeah)",71,49Teqcxp4dOBayTBtR3j5W,1999,2018-10-05,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.7390000000000001,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,en
189,05oETzWbd4SI33qK2gbJfR,Rhiannon,Fleetwood Mac,"Rhiannon rings like a bell through the night And wouldn't you love to love her? Takes to the sky like a bird in flight And who will be her lover? All your life you've never seen a woman Taken by the wind Would you stay if she promised you heaven? Will you ever win? She is like a cat in the dark And then she is the darkness She rules her life like a fine skylark And when the sky is starless Once in a million years a lady like her rises Oh no, Rhiannon, you cry, but she's gone Your life knows no answer, your life knows no answer All your life you've never seen a woman Taken by the wind Would you stay if she promised you heaven? Will you ever win? Will you ever win? Rhiannon Rhiannon Rhiannon Rhiannon She rings like a bell through the night And wouldn't you love to love her? She rules her life like a bird in flight And who will be her lover? All your life you've never seen a woman Taken by the wind Would you stay if she promised you heaven? Will you ever win? Will you ever win? Rhiannon Rhiannon Rhiannon Taken by, taken by the sky Taken by, taken by the sky Taken by, taken by the sky Dreams unwind Love's a state of mind Dreams unwind Love's a state of mind",68,5VIQ3VaAoRKOEpJ0fewdvo,Fleetwood Mac,1975-07-11,Soft Rock Drive,37i9dQZF1DX6TIU4D13lOY,rock,classic rock,0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,252773,en
195,05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,Van Halen,"Jump back, what's that sound? Here she comes, full blast and top down Hot shoe, burnin' down the avenue Model citizen zero discipline Don't you know she's coming home with me? You'l lose her in the turn I'll get her! Panama, Panama Panama, Panama Ain't nothin' like it, her shiny machine Got the feel for the wheel, keep the moving parts clean Hot shoe, burnin' down the avenue Got an on-ramp Comin' through my bedroom Don't you know she's coming home with me? You'll lose her in the turn I'll get her! Panama, Panama Panama, Panama NA Yeah, we're runnin' a little bit hot tonight I can barely see the road from the heat comin' off of it Ah, I reach down, between my legs, ease the seat back She's blinding, I'm flying Right behind the rear-view mirror, now Got the feeling, power-steering Pistons popping, ain't no stopping now! Panama, Panama Panama, Panama Panama, Panama Panama Jump back, what's that sound? Here she comes, full blast and top down Hot shoe, burnin' down the avenue Model citizen zero discipline Don't you know she's coming home with me? You'l lose her in the turn I'll get her! Panama, Panama Panama, Panama Ain't nothin' like it, her shiny machine Got the feel for the wheel, keep the moving parts clean Hot shoe, burnin' down the avenue Got an on-ramp Comin' through my bedroom Don't you know she's coming home with me? You'll lose her in the turn I'll get her! Panama, Panama Panama, Panama NA Yeah, we're runnin' a little bit hot tonight I can barely see the road from the heat comin' off of it Ah, I reach down, between my legs, ease the seat back She's blinding, I'm flying Right behind the rear-view mirror, now Got the feeling, power-steering Pistons popping, ain't no stopping now! Panama, Panama Panama, Panama Panama, Panama Panama",73,3REUXdj5OPKhuDTrTtCBU0,1984 (Remastered),1984-01-04,Classic Rock Playlist.,7CESj1xKbxdArRzloygvkl,rock,classic rock,0.527,0.978,8,-5.436,1,0.109,0.00124,4.75e-05,0.0744,0.463,141.16899999999995,210227,en
196,05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),Calvin Harris,"I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love I take a deep breath every time I pass your door I know you're there but I can't see you anymore And that's the reason you're in the dark I've been a stranger ever since we fell apart And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love Now I'm dreaming, will ever find you now? I walk in circles but I'll never figure out What I mean to you, do I belong? I try to fight this, but I know I'm not that strong And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love All the years, all the times You were never been to blame And now my eyes are open And now my heart is closing And all the tears, all the lies, all the waste I've been trying to make it change And now my eyes are open I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love I take a deep breath every time I pass your door I know you're there but I can't see you anymore And that's the reason you're in the dark I've been a stranger ever since we fell apart And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love Now I'm dreaming, will ever find you now? I walk in circles but I'll never figure out What I mean to you, do I belong? I try to fight this, but I know I'm not that strong And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love All the years, all the times You were never been to blame And now my eyes are open And now my heart is closing And all the tears, all the lies, all the waste I've been trying to make it change And now my eyes are open I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love I take a deep breath every time I pass your door I know you're there but I can't see you anymore And that's the reason you're in the dark I've been a stranger ever since we fell apart And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love Now I'm dreaming, will ever find you now? I walk in circles but I'll never figure out What I mean to you, do I belong? I try to fight this, but I know I'm not that strong And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love All the years, all the times You were never been to blame And now my eyes are open And now my heart is closing And all the tears, all the lies, all the waste I've been trying to make it change And now my eyes are open I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love I take a deep breath every time I pass your door I know you're there but I can't see you anymore And that's the reason you're in the dark I've been a stranger ever since we fell apart And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love Now I'm dreaming, will ever find you now? I walk in circles but I'll never figure out What I mean to you, do I belong? I try to fight this, but I know I'm not that strong And I feel so helpless here Watch my eyes are filled with fear Tell me, do you feel the same? Hold me in your arms again I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free with you tonight I need your love I need your love All the years, all the times You were never been to blame And now my eyes are open And now my heart is closing And all the tears, all the lies, all the waste I've been trying to make it change And now my eyes are open I need your love, I need your time When everything's wrong, you make it right I feel so high, I come alive I need to be free",69,7w19PFbxAjwZ7UVNp9z0uT,18 Months,2012-10-26,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.695,0.8690000000000001,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,234507,en
206,060AenZFpUKot40Pv0CJ0l,I Go Blind,Hootie & The Blowfish,"Everytime I look at you, I go blind Everytime I look at you, I go blind Everytime I look at you, I go blind Everytime I look at you, I go blind In the mornin' I get up And I try to feel alive, but I can't Every time I look at you, I go blind I don't know what it is Something in me just won't give me a chance I think it's that I feel more confused By the deal love has shown me Little child, did you know that there's a light And it's gonna shine right through your eyes What do you think that life is like? Every time I look at you, I go blind I go blind Well somewhere over there there's a purpose There's a care for free In me there's no body, no one plan No one stand to be free I think it's that because I have seen all the fuss And it's no big deal. No big deal Hold me, hold me cause I want to get higher and higher (Every time I look at you, I go blind) Higher than life Hold me, hold me cause I want to get higher and higher (Every time I look at you, I go blind) Higher than life Hold me, hold me cause I want to get higher and higher (Every time I look at you, I go blind) Higher than life Hold me, hold me cause I want to get higher and higher (Every time I look at you, I go blind) Higher than life",42,2h7MgFQzwQhmFVcjAEQaHi,Friends Soundtrack,1995-09-19,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,0.611,0.7929999999999999,0,-7.5379999999999985,1,0.0303,0.213,0.0,0.136,0.86,121.987,188800,en
208,064SVQsmWl5EF0zahmzkQk,Let Your Love Flow,The Bellamy Brothers,"NA There's a reason for the sun-shining sky And there's a reason why I'm feeling so high Must be the season when that Love light shines all around us So, let that feeling grab you deep inside And send you reeling where your love can't hide And then go stealing Through the moonlit nights with your lover Just let your love flow Like a mountain stream And let your love grow With the smallest of dreams And let your love show And you'll know what I mean It's the season Let your love fly Like a bird on a wing And let your love bind you To all living things And let your love shine And you'll know what I mean That's the reason There's a reason for the warm sweet nights And there's a reason for the candlelights Must be the season when those Love lights shine all around us So, let that wonder take you into space And lay you under its loving embrace Just feel the thunder as it warms your face You can't hold back Just let your love flow Like a mountain stream And let your love grow With the smallest of dreams And let your love show And you'll know what I mean It's the season Let your love fly Like a bird on a wing And let your love bind you To all living things And let your love shine And you'll know what I mean That's the reason Just let your love flow Like a mountain stream And let your love grow With the smallest of dreams And let your love show And you'll know what I mean It's the season Let your love fly Like a bird on a wing And let your love bind you To all living things And let your love shine And you'll know what I mean That's the reason Just let your love flow Like a mountain stream And let your love grow",68,77EM0wkGevYQcBo1AJt7B0,Bellamy Brothers,1976-07-01,Soft Rock Drive,37i9dQZF1DX6TIU4D13lOY,rock,classic rock,0.679,0.5529999999999999,3,-14.687,1,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,198760,en
254,07CyrZF9eVd02zzIse7tZA,In Between Days - 2006 Remaster,The Cure,"Yesterday I got so old I felt like I could die Yesterday I got so old It made me want to cry Go on, go on Just walk away Go on, go on Your choice is made Go on, go on And disappear Go on, go on Away from here And I know I was wrong When I said it was true That it couldn't be me and be her Inbetween without you Without you Yesterday I got so scared I shivered like a child Yesterday away from you It froze me deep inside Come back come back Don't walk away Come back, come back Come back today Come back, come back Why can't you see Come back, come back Come back to me And I know I was wrong When I said it was true That it couldn't be me And be her in between Without you Without you Without you Without you Without you Without you Without you Without you",53,4Uq47onfCEj5en94jpHovk,The Head on the Door (Deluxed Edition),1985-08-26,I didn’t know perm stood for permanent (wave),3e6gYPyrTbaB8BWgSHCt5j,rock,permanent wave,0.541,0.83,9,-6.246,1,0.0316,0.109,0.701,0.1669999999999999,0.711,142.592,177987,en
296,08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,"Ooh-oh, ooh-woh Ooh-oh, ooh-woh You say you love me, I say you crazy We're nothing more than friends You're not my lover, more like a brother I known you since we were like ten, yeah Don't mess it up, talking that shit Only gonna push me away, that's it! When you say you love me, that make me crazy Here we go again Don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Have you got no shame? You looking insane Turning up at my door It's two in the morning, the rain is pouring Haven't we been here before? Don't mess it up, talking that shit Only gonna push me away, that's it! Have you got no shame? You looking insane Here we go again So don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Haven't I made it?) Haven't I made it clear? (Haven't I made it clear?) Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? (Haven't I?) Want me to spell it out for you? (To spell it out for you?) F-R-I-E-N-D-S F-R-I-E-N-D-S F-R-I-E-N-D-S That's how you f****** spell ""friends"" F-R-I-E-N-D-S Get that shit inside your head No, no, yeah, uh, ah F-R-I-E-N-D-S We're just friends So don't go look at me with that look in your eye You really ain't going nowhere without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Have I not made it obvious?) Haven't I made it clear? (Yeah, I made it very clear) Want me to spell it out for you? (Yo) F-R-I-E-N-D-S (I said F-R-I-E-N-D-S) Haven't I made it obvious? (I made it very obvious) Haven't I made it clear? (I made it very clear) Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Mmm, ooh, ooh, ooh Ah, ah-oh, ah-oh Ooh-oh, ooh-woh Ooh-oh, ooh-woh You say you love me, I say you crazy We're nothing more than friends You're not my lover, more like a brother I known you since we were like ten, yeah Don't mess it up, talking that shit Only gonna push me away, that's it! When you say you love me, that make me crazy Here we go again Don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Have you got no shame? You looking insane Turning up at my door It's two in the morning, the rain is pouring Haven't we been here before? Don't mess it up, talking that shit Only gonna push me away, that's it! Have you got no shame? You looking insane Here we go again So don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Haven't I made it?) Haven't I made it clear? (Haven't I made it clear?) Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? (Haven't I?) Want me to spell it out for you? (To spell it out for you?) F-R-I-E-N-D-S F-R-I-E-N-D-S F-R-I-E-N-D-S That's how you f****** spell ""friends"" F-R-I-E-N-D-S Get that shit inside your head No, no, yeah, uh, ah F-R-I-E-N-D-S We're just friends So don't go look at me with that look in your eye You really ain't going nowhere without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Have I not made it obvious?) Haven't I made it clear? (Yeah, I made it very clear) Want me to spell it out for you? (Yo) F-R-I-E-N-D-S (I said F-R-I-E-N-D-S) Haven't I made it obvious? (I made it very obvious) Haven't I made it clear? (I made it very clear) Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Mmm, ooh, ooh, ooh Ah, ah-oh, ah-oh Ooh-oh, ooh-woh Ooh-oh, ooh-woh You say you love me, I say you crazy We're nothing more than friends You're not my lover, more like a brother I known you since we were like ten, yeah Don't mess it up, talking that shit Only gonna push me away, that's it! When you say you love me, that make me crazy Here we go again Don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Have you got no shame? You looking insane Turning up at my door It's two in the morning, the rain is pouring Haven't we been here before? Don't mess it up, talking that shit Only gonna push me away, that's it! Have you got no shame? You looking insane Here we go again So don't go look at me with that look in your eye You really ain't going away without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Haven't I made it?) Haven't I made it clear? (Haven't I made it clear?) Want me to spell it out for you? F-R-I-E-N-D-S Haven't I made it obvious? Haven't I made it clear? (Haven't I?) Want me to spell it out for you? (To spell it out for you?) F-R-I-E-N-D-S F-R-I-E-N-D-S F-R-I-E-N-D-S That's how you f****** spell ""friends"" F-R-I-E-N-D-S Get that shit inside your head No, no, yeah, uh, ah F-R-I-E-N-D-S We're just friends So don't go look at me with that look in your eye You really ain't going nowhere without a fight You can't be reasoned with, I'm done being polite I've told you one, two, three, four, five, six thousand times Haven't I made it obvious? (Have I not made it obvious?) Haven't I made it clear? (Yeah, I made it very clear) Want me to spell it out for you? (Yo) F-R-I-E-N-D-S (I said F-R-I-E-N-D-S) Haven't I made it obvious? (I made it very obvious) Haven't I made it clear? (I made it very clear) Want me to spell it out for you? F-R-I-E-N-D-S F-R-I-E-N-D-S Mmm, ooh, ooh, ooh Ah, ah-oh, ah-oh",83,1BmxOYHjQv1dKZRr13YRZM,FRIENDS,2018-02-09,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,en
300,08JVaI77aIffN0wNjTOG4b,Ready for Love - 2015 Remaster,Bad Company,"Walkin' down this rocky road Wondering where my life is leadin' Rollin' on to the bitter end Finding out along the way What it takes to keep love living You should know how it feels, my friend Ooh, I want you to stay Ooh, I want you today I'm ready for love Oh baby, I'm ready for love Ready for love Oh baby, I'm ready for love Yeah, ooh For your love Now I'm on my feet again Better things are bound to happen All my dues surely must be paid Many miles and many tears Times were hard but now they're changing You should know that I'm not afraid Ooh, I want you to stay Ooh, I want you today I'm ready for love Oh baby, I'm ready for love Ready for love Oh baby, I'm ready for love Oh I'm ready for love I'm ready for your love Ooh, I want you to stay Ooh, I want you today I'm ready for love Oh baby, I'm ready for love Ready for love Oh baby, I'm ready for love Ready for love Oh baby, I'm ready for love Ready for love Oh baby, I'm ready for your love I'm ready for your love Oh baby",48,4fuDpBLCt9ChDlqw48bj7p,Bad Company (Deluxe),1974,Mega Rock Ballads: The Best Slow Rock Compilation Ever !,6LJtRKgDpzM8ZbbwC0jLhe,rock,album rock,0.5660000000000001,0.521,7,-11.824000000000002,1,0.0321,0.514,0.000288,0.116,0.468,129.167,299827,en
303,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,"Back in black, I hit the sack I've been too long, I'm glad to be back Yes, I'm let loose from the noose That's kept me hanging about I'm just looking at the sky 'cause it's getting me high Forget the hearse, 'cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang'Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So, look at me now, I'm just making my play Don't try to push your luck, just get out of my way 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Well, I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black, yow Ah, yeah Oh, yeah Take my love Yeah, yeah Yeah Ah, hey yeah Ooh, yeah Well, I'm back (I'm back) Back, well I'm (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back Back in black Yes, I'm back in black I've hit the sack Back in black, I hit the sack I've been too long, I'm glad to be back Yes, I'm let loose from the noose That's kept me hanging about I'm just looking at the sky 'cause it's getting me high Forget the hearse, 'cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang'Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So, look at me now, I'm just making my play Don't try to push your luck, just get out of my way 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Well, I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black, yow Ah, yeah Oh, yeah Take my love Yeah, yeah Yeah Ah, hey yeah Ooh, yeah Well, I'm back (I'm back) Back, well I'm (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back Back in black Yes, I'm back in black I've hit the sack Back in black, I hit the sack I've been too long, I'm glad to be back Yes, I'm let loose from the noose That's kept me hanging about I'm just looking at the sky 'cause it's getting me high Forget the hearse, 'cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang'Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So, look at me now, I'm just making my play Don't try to push your luck, just get out of my way 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Well, I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black, yow Ah, yeah Oh, yeah Take my love Yeah, yeah Yeah Ah, hey yeah Ooh, yeah Well, I'm back (I'm back) Back, well I'm (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back Back in black Yes, I'm back in black I've hit the sack Back in black, I hit the sack I've been too long, I'm glad to be back Yes, I'm let loose from the noose That's kept me hanging about I'm just looking at the sky 'cause it's getting me high Forget the hearse, 'cause I'll never die I got nine lives, cat's eyes Abusing every one of them and running wild 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Back in the back of a Cadillac Number one with a bullet, I'm a power pack Yes, I'm in a bang with a gang They've got to catch me if they want me to hang'Cause I'm back on the track and I'm beatin' the flack Nobody's gonna get me on another rap So, look at me now, I'm just making my play Don't try to push your luck, just get out of my way 'Cause I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black Well, I'm back, yes I'm back Well, I'm back, yes I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black, yow Ah, yeah Oh, yeah Take my love Yeah, yeah Yeah Ah, hey yeah Ooh, yeah Well, I'm back (I'm back) Back, well I'm (I'm back) Back (I'm back) Back (I'm back) Back (I'm back) Back Back in black Yes, I'm back in black I've hit the sack",83,6mUdeDZCsExyJLMdAfDuwh,Back In Black,1980-07-25,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,en
